65,13142,/beer/profile/388/2557/,Cantillon Rose De Gambrinus,/beer/profile/388/,Brasserie Cantillon,/beer/style/10/,Lambic - Fruit
66,1171,/beer/profile/1177/6368/,Masala Mama India Pale Ale,/beer/profile/1177/,Minneapolis Town Hall Brewery,/beer/style/116/,American IPA
67,932,/beer/profile/158/19216/,Oak Aged Yeti Imperial Stout,/beer/profile/158/,Great Divide Brewing Company,/beer/style/84/,Russian Imperial Stout
68,12049,/beer/profile/73/226/,Great Lakes Edmund Fitzgerald Porter,/beer/profile/73/,Great Lakes Brewing Co.,/beer/style/159/,American Porter
69,6105,/beer/profile/64/18862/,Burton Baton,/beer/profile/64/,Dogfish Head Brewery,/beer/style/140/,American Double / Imperial IPA
70,37945,/beer/profile/1534/6947/,Cuvee Van De Keizer Blauw (Blue),/beer/profile/1534/,Brouwerij Het Anker,/beer/style/56/,Belgian Strong Dark Ale
71,178,/beer/profile/388/21683/,Cantillon Cuvee Des Champions,/beer/profile/388/,Brasserie Cantillon,/beer/style/14/,Gueuze
72,17513,/beer/profile/287/1444/,Bell's Expedition Stout,/beer/profile/287/,"Bell's Brewery,  Inc.",/beer/style/84/,Russian Imperial Stout
73,4515,/beer/profile/30/22352/,Maharaja,/beer/profile/30/,Avery Brewing Company,/beer/style/140/,American Double / Imperial IPA
74,4871,/beer/profile/651/6076/,Flower Power India Pale Ale,/beer/profile/651/,Ithaca Beer Company,/beer/style/116/,American IPA
75,1793,/beer/profile/396/3916/,AleSmith IPA,/beer/profile/396/,AleSmith Brewing Company,/beer/style/116/,American IPA
76,821,/beer/profile/147/88/,Stone IPA (India Pale Ale),/beer/profile/147/,Stone Brewing Co.,/beer/style/116/,American IPA
77,5428,/beer/profile/2210/38180/,Union Jack India Pale Ale,/beer/profile/2210/,Firestone Walker Brewing Co.,/beer/style/116/,American IPA
78,17241,/beer/profile/2097/8388/,Kuhnhenn Bourbon Barrel Barley Wine,/beer/profile/2097/,Kuhnhenn Brewing Company,/beer/style/152/,English Barleywine
79,481,/beer/profile/259/722/,St. Bernardus Tripel,/beer/profile/259/,Brouwerij St. Bernardus NV,/beer/style/58/,Tripel
80,646818,/beer/profile/2743/22505/,Green Flash West Coast IPA,/beer/profile/2743/,Green Flash Brewing Co.,/beer/style/140/,American Double / Imperial IPA
81,6758,/beer/profile/48/155/,Gulden Draak (Dark Triple),/beer/profile/48/,Brouwerij Van Steenberge N.V.,/beer/style/56/,Belgian Strong Dark Ale
82,869,/beer/profile/173/945/,Adam,/beer/profile/173/,Hair of the Dog Brewing Company / Brewery and Tasting Room,/beer/style/79/,Old Ale
83,4045,/beer/profile/22/30/,Trois Pistoles,/beer/profile/22/,Unibroue,/beer/style/56/,Belgian Strong Dark Ale
84,1425,/beer/profile/610/3158/,Hop Rod Rye,/beer/profile/610/,Bear Republic Brewing Co.,/beer/style/116/,American IPA
85,6273,/beer/profile/252/808/,Weihenstephaner Hefeweissbier Dunkel,/beer/profile/252/,Bayerische Staatsbrauerei Weihenstephan,/beer/style/91/,Dunkelweizen
86,107214,/beer/profile/738/5057/,Fantome Saison,/beer/profile/738/,Brasserie Fantôme,/beer/style/129/,Saison / Farmhouse Ale
87,8,/beer/profile/113/571/,Samuel Smith's Oatmeal Stout,/beer/profile/113/,Samuel Smith Old Brewery (Tadcaster),/beer/style/69/,Oatmeal Stout
88,7652,/beer/profile/652/16062/,Brewer's Reserve Bourbon Barrel Stout,/beer/profile/652/,Central Waters Brewing Co.,/beer/style/157/,American Double / Imperial Stout
89,9954,/beer/profile/26/9478/,Gumballhead,/beer/profile/26/,3 Floyds Brewing Co.,/beer/style/93/,American Pale Wheat Ale
90,67996,/beer/profile/72/1934/,Schneider Aventinus Weizen-Eisbock,/beer/profile/72/,Weisses Bräuhaus G. Schneider & Sohn GmbH,/beer/style/36/,Eisbock
91,851,/beer/profile/37/129/,Orval Trappist Ale,/beer/profile/37/,Brasserie d'Orval S.A.,/beer/style/54/,Belgian Pale Ale
92,833,/beer/profile/158/12013/,Yeti Imperial Stout,/beer/profile/158/,Great Divide Brewing Company,/beer/style/84/,Russian Imperial Stout
93,6730,/beer/profile/64/2392/,World Wide Stout,/beer/profile/64/,Dogfish Head Brewery,/beer/style/157/,American Double / Imperial Stout
94,4653,/beer/profile/147/8951/,Oaked Arrogant Bastard Ale,/beer/profile/147/,Stone Brewing Co.,/beer/style/78/,American Strong Ale
95,1553,/beer/profile/610/2751/,Racer 5 India Pale Ale,/beer/profile/610/,Bear Republic Brewing Co.,/beer/style/116/,American IPA
96,4044,/beer/profile/22/33/,Maudite,/beer/profile/22/,Unibroue,/beer/style/56/,Belgian Strong Dark Ale
97,5794,/beer/profile/73/15813/,Great Lakes Blackout Stout,/beer/profile/73/,Great Lakes Brewing Co.,/beer/style/84/,Russian Imperial Stout
98,17232,/beer/profile/2541/6317/,Girardin Gueuze 1882 (Black Label),/beer/profile/2541/,Brouwerij Girardin,/beer/style/14/,Gueuze
99,2034,/beer/profile/610/8037/,Racer X Double IPA,/beer/profile/610/,Bear Republic Brewing Co.,/beer/style/140/,American Double / Imperial IPA
100,5409,/beer/profile/26/4810/,Behemoth Blonde Barleywine,/beer/profile/26/,3 Floyds Brewing Co.,/beer/style/19/,American Barleywine
101,3622,/beer/profile/63/197/,Obsidian Stout,/beer/profile/63/,Deschutes Brewery,/beer/style/158/,American Stout
102,2025,/beer/profile/63/198/,Black Butte Porter,/beer/profile/63/,Deschutes Brewery,/beer/style/159/,American Porter
103,4594,/beer/profile/1199/16074/,Founders Red's Rye IPA,/beer/profile/1199/,Founders Brewing Company,/beer/style/12/,Rye Beer
104,908,/beer/profile/158/20931/,Old Ruffian Barley Wine,/beer/profile/158/,Great Divide Brewing Company,/beer/style/19/,American Barleywine
105,9603,/beer/profile/2097/18850/,Kuhnhenn Fourth Dementia (4D),/beer/profile/2097/,Kuhnhenn Brewing Company,/beer/style/79/,Old Ale
106,52593,/beer/profile/321/1836/,La Chouffe,/beer/profile/321/,Brasserie d'Achouffe,/beer/style/55/,Belgian Strong Pale Ale
107,1517,/beer/profile/911/2899/,Andechser Doppelbock Dunkel,/beer/profile/911/,Klosterbrauerei Andechs,/beer/style/35/,Doppelbock
108,14597,/beer/profile/2216/6306/,Drie Fonteinen Oude Kriek,/beer/profile/2216/,Brouwerij Drie Fonteinen,/beer/style/10/,Lambic - Fruit
109,571571,/beer/profile/178/705/,J.W. Lees Vintage Harvest Ale,/beer/profile/178/,J.W. Lees & Co (Brewers) Ltd,/beer/style/152/,English Barleywine
110,18099,/beer/profile/147/92/,Arrogant Bastard Ale,/beer/profile/147/,Stone Brewing Co.,/beer/style/78/,American Strong Ale
111,14435,/beer/profile/252/779/,Weihenstephaner Korbinian,/beer/profile/252/,Bayerische Staatsbrauerei Weihenstephan,/beer/style/35/,Doppelbock
112,8073,/beer/profile/637/1717/,Saison Dupont,/beer/profile/637/,Brasserie Dupont sprl,/beer/style/129/,Saison / Farmhouse Ale
113,6565,/beer/profile/140/6549/,Northern Hemisphere Harvest Wet Hop Ale,/beer/profile/140/,Sierra Nevada Brewing Co.,/beer/style/116/,American IPA
114,8415,/beer/profile/4/21363/,Allagash Odyssey,/beer/profile/4/,Allagash Brewing Company,/beer/style/56/,Belgian Strong Dark Ale
115,2560,/beer/profile/71/221/,Fuller's London Porter,/beer/profile/71/,Fuller Smith & Turner PLC,/beer/style/101/,English Porter
116,1804,/beer/profile/636/1710/,Oude Gueuze,/beer/profile/636/,Hanssens Artisanaal bvba,/beer/style/14/,Gueuze
117,8518,/beer/profile/396/7284/,YuleSmith (Summer),/beer/profile/396/,AleSmith Brewing Company,/beer/style/140/,American Double / Imperial IPA
