MD,Baltimore County ,"817,455",https://upload.wikimedia.org/wikipedia/commons/thumb/b/b5/Seal_of_Baltimore_County%2C_Maryland.svg/100px-Seal_of_Baltimore_County%2C_Maryland.svg.png,https://upload.wikimedia.org/wikipedia/commons/thumb/1/1a/Map_of_Maryland_highlighting_Baltimore_County.svg/150px-Map_of_Maryland_highlighting_Baltimore_County.svg.png
PA,Montgomery County ,"799,874",,
NJ,Essex County ,"798,975",https://upload.wikimedia.org/wikipedia/en/thumb/2/2d/Seal_of_Essex_County%2C_New_Jersey.svg/100px-Seal_of_Essex_County%2C_New_Jersey.svg.png,
NY,Monroe County ,"744,344",https://upload.wikimedia.org/wikipedia/en/thumb/c/ca/Seal_of_Monroe_County%2C_New_York.png/100px-Seal_of_Monroe_County%2C_New_York.png,https://upload.wikimedia.org/wikipedia/commons/thumb/0/05/Map_of_New_York_highlighting_Monroe_County.svg/100px-Map_of_New_York_highlighting_Monroe_County.svg.png
NJ,Hudson County ,"672,391",https://upload.wikimedia.org/wikipedia/en/thumb/7/7e/Jersey_city_seal.png/80px-Jersey_city_seal.png,
PA,Bucks County ,"625,249",,
MD,Baltimore City ,"621,342",https://upload.wikimedia.org/wikipedia/commons/thumb/1/16/Seal_of_Baltimore%2C_Maryland.png/100px-Seal_of_Baltimore%2C_Maryland.png,https://upload.wikimedia.org/wikipedia/commons/thumb/8/87/Map_of_Maryland_highlighting_Baltimore_City.svg/150px-Map_of_Maryland_highlighting_Baltimore_City.svg.png
NJ,Monmouth County ,"618,795",http://www.drinkabeerclub.com/imgs/Official-Monmouth-County-Seal-Color.jpg,
NJ,Ocean County ,"607,186",https://images.vector-images.com/119/ocean_county_seal_n6718.gif,
PA,Delaware County ,"558,979",,
NJ,Union County ,"556,341",https://upload.wikimedia.org/wikipedia/en/thumb/1/11/Seal_of_Union_County%2C_New_Jersey.png/100px-Seal_of_Union_County%2C_New_Jersey.png,
MD,Anne Arundel County ,"550,488",https://upload.wikimedia.org/wikipedia/commons/thumb/7/71/Seal_of_Anne_Arundel_County%2C_Maryland.svg/100px-Seal_of_Anne_Arundel_County%2C_Maryland.svg.png,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/Map_of_Maryland_highlighting_Anne_Arundel_County.svg/150px-Map_of_Maryland_highlighting_Anne_Arundel_County.svg.png
DE,New Castle County,"538,479",https://upload.wikimedia.org/wikipedia/en/thumb/2/22/NewCastleCountySeal.png/100px-NewCastleCountySeal.png,https://upload.wikimedia.org/wikipedia/commons/thumb/4/4c/Map_of_Delaware_highlighting_New_Castle_County.svg/50px-Map_of_Delaware_highlighting_New_Castle_County.svg.png
PA,Lancaster County ,"519,445",,
NJ,Camden County ,"506,471",https://upload.wikimedia.org/wikipedia/commons/thumb/b/b5/Seal_of_Camden%2C_New_Jersey.png/100px-Seal_of_Camden%2C_New_Jersey.png,
NJ,Passaic County ,"501,826",https://upload.wikimedia.org/wikipedia/en/thumb/6/62/Passaic_Seal.jpg/100px-Passaic_Seal.jpg,
PA,Chester County ,"498,886",,
NJ,Morris County ,"491,845",https://upload.wikimedia.org/wikipedia/commons/thumb/c/cf/MCseal.png/100px-MCseal.png,
NY,Richmond County ,"468,730",https://upload.wikimedia.org/wikipedia/en/thumb/e/e7/Seal_of_Staten_Island_2016.svg/85px-Seal_of_Staten_Island_2016.svg.png,https://upload.wikimedia.org/wikipedia/commons/thumb/4/41/Map_of_New_York_highlighting_Richmond_County.svg/100px-Map_of_New_York_highlighting_Richmond_County.svg.png
